2026-04-15T04:49:22.432Z auth auth.session_created "session created for ai:claude@joy via delegation token" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T04:49:32.937Z JOT-0046-53 item.created "Align sample tasks in CLI welcome and docs with website" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T04:49:38.779Z JOT-0046-53 item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T04:50:52.875Z JOT-0046-53 comment.added "Updated welcome text pair in src/main.rs, README.md, and Vision.md to 'Review pull request JOY-00D3' --tag work / 'Call Lisa' --tag personal --prio high. Left the integration test at tests/integration/user-journey.bats:346 untouched: the 'Buy groceries' there is test fixture paired with --tag shopping, not user-facing copy." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T04:50:52.887Z JOT-0046-53 item.status_changed "in-progress -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T05:04:23.876Z JOT-0047-0E item.created "Add --prio as visible alias for --priority in jot add and edit" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T05:04:23.892Z JOT-0047-0E item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T05:07:32.039Z JOT-0047-0E comment.added "Done. --prio added as visible_alias on both AddArgs::priority and EditArgs::priority. Help output shows 'Priority [aliases: --prio]'. Manual test confirms jot add Call Lisa --tag personal --prio high parses cleanly and persists priority=high." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T05:07:32.050Z JOT-0047-0E item.status_changed "in-progress -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T05:21:35.371Z JOT-0048-0F item.created "Add config system to jot CLI (global and project)" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T05:59:11.309Z JOT-0048-0F item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T06:18:13.609Z JOT-0048-0F comment.added "Done. Added jot-core::config module (strict schema via deny_unknown_fields, YAML round-trip validation, layered load defaults < global < local). Added jot-cli config subcommand with get/set and an optional bare-list view. set-target resolution: explicit --global/--local win; else auto-pick local if .jot/ present, global if ~/.config/jot/config.yaml exists, else fail-loud with an actionable message. Fortune call in main.rs now gated on cfg.output.fortune and passes cfg.output.fortune_category. 15 new bats cases in tests/integration/config.bats cover the full contract. Welcome text updated to use --priority rather than --prio via aliases-on-Close: infer_subcommands made c ambiguous between close/config, so Close picks up c as an explicit alias and co stays ambiguous (documented in the prefix-shortcuts test)." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T06:18:13.631Z JOT-0048-0F item.status_changed "in-progress -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T06:23:40.654Z JOT-0049-86 item.created "Document config module in jot dev Architecture.md" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T06:23:40.667Z JOT-0049-86 item.status_changed "new -> in-progress" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T06:25:25.407Z JOT-0049-86 comment.added "Added a Configuration section in docs/dev/Architecture.md covering: the two-file layout (global + project-local with cwd-scoped semantics matching jot's task model), strict schema rationale (deny_unknown_fields plus validate-before-write), the four-step write-target resolution of jot config set with the fail-loud default, and the joy-core fortune integration as the first concrete consumer (no joy-core changes required)." [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
2026-04-15T06:25:25.415Z JOT-0049-86 item.status_changed "in-progress -> closed" [ai:claude@joy delegated-by:horst.schwarz@joydev.com]
